label,series,platform,game,track,reason_keyword,file
ambiguous_other,Ace Attorney,Nintendo 3DS,Phoenix Wright Ace Attorney Spirit of Justice,Cheerful People,,game_midi/Ace Attorney_Nintendo 3DS_Phoenix Wright Ace Attorney Spirit of Justice_Cheerful People.mid
ambiguous_other,Ace Attorney,Nintendo DS,Ace Attorney Investigations Miles Edgeworth,Kay Faraday The Great Truth Burglar,,game_midi/Ace Attorney_Nintendo DS_Ace Attorney Investigations Miles Edgeworth_Kay Faraday The Great Truth Burglar.mid
ambiguous_other,Ace Attorney,Nintendo DS,Ace Attorney Investigations Miles Edgeworth,Pursuit Lying Coldly,,game_midi/Ace Attorney_Nintendo DS_Ace Attorney Investigations Miles Edgeworth_Pursuit Lying Coldly.mid
ambiguous_other,Ace Attorney,Nintendo DS,Apollo Justice Ace Attorney,Court Begins,,game_midi/Ace Attorney_Nintendo DS_Apollo Justice Ace Attorney_Court Begins.mid
ambiguous_other,Ace Attorney,Nintendo DS,Apollo Justice Ace Attorney,Cross-Examination Moderato 2007,,game_midi/Ace Attorney_Nintendo DS_Apollo Justice Ace Attorney_Cross-Examination Moderato 2007.mid
ambiguous_other,Ace Attorney,Nintendo DS,Apollo Justice Ace Attorney,Telling the Truth 2007,,game_midi/Ace Attorney_Nintendo DS_Apollo Justice Ace Attorney_Telling the Truth 2007.mid
ambiguous_other,Ace Attorney,Nintendo DS,Apollo Justice Ace Attorney,Troupe Gramarye,,game_midi/Ace Attorney_Nintendo DS_Apollo Justice Ace Attorney_Troupe Gramarye.mid
ambiguous_other,Ace Attorney,Nintendo DS,Gyakuten Kenji 2,Bonds A Believing Heart,,game_midi/Ace Attorney_Nintendo DS_Gyakuten Kenji 2_Bonds A Believing Heart.mid
ambiguous_other,Ace Attorney,Nintendo DS,Gyakuten Kenji 2,Hakari Mikagami Goddess of Law,,game_midi/Ace Attorney_Nintendo DS_Gyakuten Kenji 2_Hakari Mikagami Goddess of Law.mid
ambiguous_other,Ace Attorney,Nintendo DS,Gyakuten Kenji 2,Pursuit Wanting to Find the Truth,,game_midi/Ace Attorney_Nintendo DS_Gyakuten Kenji 2_Pursuit Wanting to Find the Truth.mid
ambiguous_other,Ace Attorney,Nintendo DS,Gyakuten Kenji 2,Raymond Shields Joking Motive,,game_midi/Ace Attorney_Nintendo DS_Gyakuten Kenji 2_Raymond Shields Joking Motive.mid
